Cluster Index,Cluster Index,Mean,Std
0,0,0.43500000000000005,1.6927943264256728
1,1,2.684210526315789,3.1869984412182393
2,2,11.723076923076924,23.65041063231087
3,3,0.8218749999999999,2.418975306252229
4,4,0.6307692307692309,2.673444911029156
5,5,1.8777777777777775,2.810150253001509
6,6,1.8159999999999998,3.487558840602788
7,7,3.375,4.1096431313030894
8,8,2.198387096774194,3.1869864451857945
9,9,1.475,2.939727878562912
10,10,2.335294117647059,2.883127897022301
11,11,2.3249999999999997,4.420021595998248
12,12,1.4384615384615387,2.5184447785417294
13,13,2.0263157894736836,2.8452381476704307
14,14,0.9772727272727273,2.0889577757208473
15,15,1.548,2.3198635017316573
16,16,1.7769230769230768,2.8775434680046814
17,17,1.2692307692307692,2.636722907760255
18,18,2.1761904761904765,3.3392970460719362
19,19,1.5333333333333332,3.2315115142401503
20,20,1.2200000000000002,2.6906465667880686
21,21,0.5391304347826088,1.3368004986244317
22,22,2.0375000000000005,2.8708693849844558
23,23,5.37,13.734056785577728
24,24,0.7769230769230769,3.3916942290822365
25,25,1.5583333333333333,2.5956110975446554
26,26,1.5,2.746237094975265
28,27,1.847368421052632,3.3622691446654875
29,28,3.5812500000000003,3.5427331727542413
30,29,4.450000000000001,3.4108487050716407
31,30,2.542857142857143,3.280176891504548
32,31,2.5368421052631582,3.3355343610408528
33,32,1.7461538461538464,2.995226972265143
34,33,4.338095238095239,13.782324774524659
35,34,2.0916666666666672,3.5717218494301832
36,35,0.5384615384615384,1.2540191795040867
37,36,5.21,17.492250915913115
38,37,1.4294117647058824,2.5509225551460677
39,38,1.6857142857142853,3.013022880481806
40,39,1.4375,2.1712899391836182
41,40,1.3208333333333335,2.770179583986611
42,41,2.046666666666667,3.4778619595268316
43,42,1.325,2.053876600701486
44,43,1.1388888888888888,2.8668775572222422
45,44,1.9615384615384615,4.215949569104304
46,45,3.1333333333333333,2.4826061575153906
47,46,-0.10000000000000002,0.3891382420536068
48,47,10.540000000000001,24.94652948474664
49,48,0.7444444444444444,2.6749350978627087
50,49,2.5714285714285716,3.0554401132593463
51,50,3.75,4.879036790187178
52,51,2.5399999999999996,1.4363147287415803
53,52,2.0923076923076924,3.396680128807524
54,53,2.11764705882353,4.1761578176174154
55,54,2.1,4.428640552455927
56,55,0.5599999999999999,3.8578491416850396
57,56,3.1166666666666667,3.7102798372344146
58,57,1.3846153846153848,2.900817745006327
59,58,0.5000000000000001,1.6998721179522018
60,59,1.1400000000000001,2.6350671618325823
61,60,1.0363636363636362,2.3707689584912015
62,61,1.742857142857143,3.1227277453259625
63,62,1.5727272727272725,3.182480450557681
64,63,2.0333333333333337,2.868744842208343
65,64,2.3000000000000003,3.6674241641784495
66,65,2.7583333333333333,3.2419013313832123
67,66,2.3500000000000005,2.8767433277776178
68,67,1.966666666666667,3.4566219483937854
69,68,2.245,2.974359727651261
70,69,2.8249999999999997,4.196214280242883
71,70,-0.15,0.3563705936241092
72,71,-0.5222222222222221,3.863863926750584
73,72,-0.1,0.13228756555322954
74,73,1.0666666666666667,2.8129166358070408
75,74,2.8846153846153846,3.0138143478119095
76,75,2.196551724137931,3.7797848350157155
77,76,2.9352941176470586,4.017452734082659
78,77,2.9083333333333337,3.605782393138369
79,78,4.0,5.086255990411807
80,79,1.725925925925926,2.654979732298794
81,80,1.3333333333333333,2.2303960784279253
82,81,0.76,1.6856671332770674
83,82,-0.46666666666666673,0.47258156262526085
84,83,2.56923076923077,3.3835802612935577
85,84,0.8416666666666667,2.02729480895706
86,85,3.6599999999999997,3.7699564226356026
