Year,Rk,Pk,Tm,Round 1 Player,Round 1 College,Yrs,Totals G,Totals MP,Totals PTS,Totals TRB,Totals AST,Shooting FG%,Shooting 3P%,Shooting FT%,Per Game MP,Per Game PTS,Per Game TRB,Per Game AST,Advanced WS,Advanced WS/48,Advanced BPM,Advanced VORP
2012,2,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,University of Kentucky,5,283,7668,2582,1805,369,0.47,0.206,0.712,27.1,9.1,6.4,1.3,15.5,0.097,-0.9,2.1
2012,3,3,WAS,Bradley Beal\bealbr01,University of Florida,5,324,10774,5728,1152,1003,0.441,0.399,0.796,33.3,17.7,3.6,3.1,21.9,0.098,0.3,6.2
2012,4,4,CLE,Dion Waiters\waitedi01,Syracuse University,5,335,9572,4438,892,909,0.413,0.346,0.698,28.6,13.2,2.7,2.7,7.4,0.037,-2.5,-1.1
2012,5,5,SAC,Thomas Robinson\robinth01,University of Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.2,-1.3
2012,6,6,POR,Damian Lillard\lillada01,Weber State University,5,396,14399,8880,1593,2446,0.43,0.37,0.877,36.4,22.4,4,6.2,45.5,0.152,3.1,18.7
2012,7,7,GSW,Harrison Barnes\barneha02,University of North Carolina,5,386,11425,4605,1819,564,0.453,0.37,0.776,29.6,11.9,4.7,1.5,22.3,0.094,-1,2.9
2012,8,8,TOR,Terrence Ross\rosste01,University of Washington,5,387,9192,3731,1014,362,0.423,0.374,0.803,23.8,9.6,2.6,0.9,14.6,0.076,-0.9,2.7
2012,9,9,DET,Andre Drummond\drumman01,University of Connecticut,5,385,11439,5120,4946,276,0.548,0.263,0.381,29.7,13.3,12.8,0.7,36.1,0.151,0.7,7.7
2012,10,10,NOH,Austin Rivers\riverau01,Duke University,5,347,7838,2919,681,745,0.418,0.345,0.651,22.6,8.4,2,2.1,5.5,0.033,-3.1,-2.2
2012,11,11,POR,Meyers Leonard\leoname01,University of Illinois at Urbana-Champaign,5,299,4963,1714,1166,246,0.461,0.371,0.825,16.6,5.7,3.9,0.8,9.4,0.091,-2.1,-0.1
2012,12,12,HOU,Jeremy Lamb\lambje01,University of Connecticut,5,276,4688,2214,830,316,0.439,0.324,0.823,17,8,3,1.1,10.5,0.108,-1.4,0.7
